dataset,field,label,n_cells,pct_cells
hbca_non_neuronal,ROIGroupCoarse,Hypothalamus,24191,2.72340511762845
hbca_non_neuronal,ROIGroupCoarse,Spinal cord,18152,2.0435389068327736
hbca_non_neuronal,ROIGroupFine,Cerebral cortex,148874,16.76012622387739
hbca_non_neuronal,ROIGroupFine,Thalamus,130419,14.682475798271458
hbca_non_neuronal,ROIGroupFine,Midbrain,121456,13.673427802351332
hbca_non_neuronal,ROIGroupFine,Hippocampus,109980,12.381468101226776
hbca_non_neuronal,ROIGroupFine,Pons,97127,10.934486745479662
hbca_non_neuronal,ROIGroupFine,Basal nuclei,76992,8.667703146478013
hbca_non_neuronal,ROIGroupFine,Cerebellum,49003,5.516721961851389
hbca_non_neuronal,ROIGroupFine,Myelencephalon,38135,4.293210456812903
hbca_non_neuronal,ROIGroupFine,Amygdaloid complex,32911,3.7050963509681254
hbca_non_neuronal,ROIGroupFine,Basal forebrain,25131,2.829229631314149
hbca_non_neuronal,ROIGroupFine,Hypothalamus,24191,2.72340511762845
hbca_non_neuronal,ROIGroupFine,Spinal cord,18152,2.0435389068327736
hbca_non_neuronal,ROIGroupFine,Claustrum,12236,1.3775199462321408
hbca_non_neuronal,ROIGroupFine,Extended amygdala,3656,0.41158981067544187
hbca_non_neuronal,cell_type,oligodendrocyte,494966,55.722910894633685
hbca_non_neuronal,cell_type,astrocyte,155025,17.452601312899446
hbca_non_neuronal,cell_type,oligodendrocyte precursor cell,105734,11.903456521323076
hbca_non_neuronal,cell_type,central nervous system macrophage,91838,10.339054987092787
hbca_non_neuronal,cell_type,fibroblast,9156,1.030775795006659
hbca_non_neuronal,cell_type,Bergmann glial cell,8041,0.9052499090922395
hbca_non_neuronal,cell_type,choroid plexus epithelial cell,7689,0.8656220060950417
hbca_non_neuronal,cell_type,ependymal cell,5882,0.6621912654247673
hbca_non_neuronal,cell_type,endothelial cell,5165,0.5814719289219522
hbca_non_neuronal,cell_type,pericyte,3693,0.41575524366094274
hbca_non_neuronal,cell_type,vascular associated smooth muscle cell,1074,0.12091013584940495
hbca_non_neuronal,roi,Human SN,50837,5.72319234280838
hbca_non_neuronal,roi,Human SN-RN,37737,4.248403907401299
hbca_non_neuronal,roi,Human PnRF,33322,3.751366430888149
hbca_non_neuronal,roi,Human GPe,33090,3.7252480402763597
hbca_non_neuronal,roi,Human GPi,32242,3.629780819419474
hbca_non_neuronal,roi,Human CbDN,28652,3.2256212405560065
hbca_non_neuronal,roi,Human CA1U,24394,2.746258709413766
hbca_non_neuronal,roi,Human PnEN,22144,2.492955352187359
hbca_non_neuronal,roi,Human MTG,22134,2.4918295594885747
hbca_non_neuronal,roi,Human SEP,20296,2.28490886145207
hbca_non_neuronal,roi,Human CA4C-DGC,19743,2.222652525209313
hbca_non_neuronal,roi,Human STH,19559,2.2019379395516867
hbca_non_neuronal,roi,Human SpC,18152,2.0435389068327736
hbca_non_neuronal,roi,Human A35r,17491,1.9691240094431492
hbca_non_neuronal,roi,Human PAG,17187,1.9348999114001146
hbca_non_neuronal,roi,Human CBV,17133,1.928820630826681
hbca_non_neuronal,roi,Human LP-VPL,16179,1.8214200073626845
hbca_non_neuronal,roi,Human Pul,15945,1.7950764582111378
hbca_non_neuronal,roi,Human PN,15355,1.72865468898288
hbca_non_neuronal,roi,Human DGR-CA4Rpy,14520,1.6346509986344133
hbca_non_neuronal,roi,Human Sub,13773,1.5505542840352464
hbca_non_neuronal,roi,Human LP,13608,1.5319787045053097
hbca_non_neuronal,roi,Human DGU-CA4Upy,13331,1.500794246748992
hbca_non_neuronal,roi,Human STG,13196,1.4855960453154076
